pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
39703813,2,4,2024-05-14,62.0,17500000000.0,2,1,4,4,5,6.0,5.0,282258065.0
39843289,2,2,2024-05-14,62.0,19200000000.0,2,3,6,5,6,6.0,6.8,309677419.0
37949383,1,4,2024-05-14,60.0,25950000000.0,2,1,4,4,5,6.0,5.1,432500000.0
38441194,2,29,2024-05-14,72.0,29000000000.0,2,1,4,8,8,8.0,5.5,402777778.0
37968376,2,29,2024-05-14,32.0,4900000000.0,2,0,3,4,5,3.0,4.0,153125000.0
39523276,1,9,2024-05-09,190.0,170000000000.0,2,1,4,4,10,6.0,7.0,894736842.0
39251593,1,29,2024-05-13,336.0,120000000000.0,2,1,4,4,4,6.0,5.0,357142857.0
39646824,0,10,2024-05-13,72.0,16500000000.0,1,1,4,4,5,6.0,6.0,229166667.0
39501103,1,26,2024-05-10,245.0,88000000000.0,2,1,4,4,9,6.0,8.0,359183673.0
39443004,2,23,2024-05-13,36.0,7300000000.0,2,1,3,4,5,6.0,5.0,202777778.0
39737838,2,10,2024-05-13,54.0,13000000000.0,1,1,4,4,5,6.0,4.2,240740741.0
39589415,0,10,2024-05-13,95.0,17000000000.0,2,1,6,5,5,6.0,5.0,178947368.0
39742598,2,7,2024-05-13,87.0,19000000000.0,1,1,4,4,5,6.0,5.0,218390805.0
39840542,2,2,2024-05-13,33.0,3600000000.0,1,1,3,5,5,6.0,5.0,109090909.0
38303976,0,10,2024-05-13,250.0,55000000000.0,2,0,7,4,3,25.0,12.5,220000000.0
39742384,2,10,2024-05-13,48.2,8500000000.0,2,1,4,4,5,6.0,3.5,176348548.0
39840532,1,26,2024-05-13,145.0,50000000000.0,2,1,4,4,5,6.0,5.0,344827586.0
35994421,0,11,2024-05-13,168.0,48000000000.0,2,3,9,5,6,21.0,26.0,285714286.0
39732965,1,9,2024-05-13,160.0,51680000000.0,2,3,4,4,4,20.0,5.0,323000000.0
39840292,2,29,2024-05-13,50.0,12800000000.0,2,3,5,4,5,6.0,4.5,256000000.0
38779097,1,12,2024-05-13,35.0,6700000000.0,2,0,2,2,5,25.0,3.8,191428571.0
39840435,1,11,2024-05-13,93.0,17000000000.0,2,1,4,4,5,18.0,5.0,182795699.0
39686353,2,17,2024-05-08,65.0,2550000000.0,2,0,3,3,3,3.0,3.9,39230769.0
39803477,1,11,2024-05-09,35.0,9200000000.0,2,1,3,4,5,20.0,4.0,262857143.0
38417136,2,29,2024-05-06,48.0,12780000000.0,2,1,3,3,5,4.5,4.0,266250000.0
39840192,2,10,2024-05-13,59.0,7350000000.0,2,3,4,3,4,6.0,5.0,124576271.0
38814959,2,29,2024-05-11,130.0,17000000000.0,2,1,4,4,3,6.0,8.0,130769231.0
39835995,1,4,2024-05-13,50.0,11550000000.0,2,0,3,2,4,4.0,4.0,231000000.0
39835951,2,4,2024-05-13,37.0,11200000000.0,2,3,3,4,7,3.0,3.9,302702703.0
39835907,2,4,2024-05-13,42.0,10500000000.0,2,0,4,4,6,4.0,4.2,250000000.0
39691183,1,4,2024-05-13,80.0,36500000000.0,2,0,2,4,8,6.0,5.0,456250000.0
39613220,1,26,2024-05-13,22.0,7300000000.0,2,1,3,4,5,6.0,5.0,331818182.0
39615866,2,26,2024-05-13,46.0,10500000000.0,2,1,6,4,5,6.0,5.0,228260870.0
39840248,2,4,2024-05-13,65.0,11300000000.0,1,1,4,4,7,6.0,7.0,173846154.0
39840491,2,23,2024-05-13,58.0,11500000000.0,2,0,4,4,5,9.0,4.0,198275862.0
38939150,1,26,2024-05-08,70.0,19000000000.0,1,1,4,4,3,6.0,6.5,271428571.0
39840257,2,7,2024-05-13,52.0,4730000000.0,1,1,3,3,3,6.0,5.0,90961538.0
39840474,1,4,2024-05-13,57.0,19500000000.0,2,1,6,6,5,6.0,4.0,342105263.0
39810443,2,29,2024-05-10,41.0,6700000000.0,2,3,4,5,4,3.0,5.5,163414634.0
39608095,0,12,2024-05-13,229.0,41449000000.0,2,3,4,4,4,6.0,5.0,181000000.0
39367965,2,26,2024-04-21,42.0,6000000000.0,2,0,4,3,4,3.0,4.2,142857143.0
39594680,2,23,2024-05-07,75.0,19000000000.0,2,1,6,4,5,6.0,5.0,253333333.0
39760091,2,4,2024-05-06,94.0,13680000000.0,2,1,7,6,5,6.0,5.0,145531915.0
39793681,2,4,2024-05-08,94.0,13680000000.0,2,1,7,4,6,6.0,5.0,145531915.0
39769891,2,4,2024-05-06,74.0,18600000000.0,2,3,5,5,5,6.0,4.8,251351351.0
