pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
39514558,Nhà riêng,Hai Bà Trưng,2024-05-08,26.0,2750000000.0,Sổ đỏ/ sổ hồng,Khác,2,2,2,-1.0,-1.0,105769231.0
39840615,Nhà riêng,Bắc Từ Liêm,2024-05-13,40.0,3700000000.0,Sổ đỏ/ sổ hồng,Khác,4,3,4,-1.0,-1.0,92500000.0
39169895,Nhà riêng,Hai Bà Trưng,2024-05-13,25.0,2800000000.0,Khác,Khác,3,4,4,-1.0,-1.0,112000000.0
39775573,Nhà mặt phố,Đống Đa,2024-05-07,40.0,32000000000.0,Khác,Khác,5,5,6,20.0,4.0,800000000.0
34312716,Nhà mặt phố,Hà Đông,2024-05-13,114.0,16500000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,1,1,1,18.0,5.5,144736842.0
39498010,Nhà riêng,Hai Bà Trưng,2024-05-04,30.0,5700000000.0,Sổ đỏ/ sổ hồng,Khác,3,4,5,-1.0,-1.0,190000000.0
31754355,Nhà riêng,Hà Đông,2024-05-13,65.0,14000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,7,7,7,20.0,4.8,215384615.0
39840347,Nhà riêng,Cầu Giấy,2024-05-13,48.0,15500000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,6,4,5,-1.0,4.2,322916667.0
39840340,Nhà riêng,Tây Hồ,2024-05-13,30.0,4400000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,5,-1.0,-1.0,146666667.0
39840341,Nhà riêng,Hà Đông,2024-05-13,32.0,3000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,4,-1.0,3.7,93750000.0
39726255,Nhà mặt phố,Cầu Giấy,2024-05-12,90.0,51500000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,8,-1.0,-1.0,572222222.0
39404077,Nhà riêng,Long Biên,2024-05-13,92.0,15500000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,7,-1.0,-1.0,168478261.0
39604787,Nhà riêng,Cầu Giấy,2024-05-12,58.0,11300000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,6,-1.0,-1.0,194827586.0
39624426,Nhà mặt phố,Thanh Xuân,2024-05-12,54.0,32000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,5,-1.0,-1.0,592592593.0
39594374,Nhà riêng,Cầu Giấy,2024-05-12,101.0,32000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,-1,-1,8,-1.0,-1.0,316831683.0
39840719,Nhà riêng,Cầu Giấy,2024-05-13,48.0,19350000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,5,-1.0,-1.0,403125000.0
36679164,Nhà biệt thự liền kề,Hoàng Mai,2024-05-07,205.0,19500000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,4,-1.0,-1.0,95121951.0
39608876,Nhà riêng,Thanh Trì,2024-05-13,34.0,3900000000.0,Sổ đỏ/ sổ hồng,Cơ bản,3,3,5,-1.0,-1.0,114705882.0
39321236,Nhà mặt phố,Cầu Giấy,2024-05-11,180.0,120000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,7,-1.0,8.2,666666667.0
39801186,Nhà biệt thự liền kề,Hà Đông,2024-05-09,102.0,15000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,6,5,-1.0,5.0,147058824.0
35743599,Nhà biệt thự liền kề,Thanh Xuân,2024-05-13,165.2,26500000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,6,7,4,-1.0,10.0,160411622.0
