pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
39858983,Nhà biệt thự liền kề,Hoàng Mai,15/05/2024,286 m²,39 tỷ,Sổ đỏ/ Sổ hồng.,Đầy đủ.,6 phòng,5 phòng,4 tầng,12 m,"11,5 m"
39858860,Nhà biệt thự liền kề,Thanh Trì,15/05/2024,100 m²,"17,8 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,4 phòng,4 phòng,4 tầng,,
39858402,Nhà riêng,Hoàng Mai,15/05/2024,49 m²,"10,5 tỷ",Sổ đỏ/ Sổ hồng.,Đầy đủ.,6 phòng,4 phòng,5 tầng,,"3,8 m"
39819620,Nhà mặt phố,Cầu Giấy,11/05/2024,80 m²,"27,5 tỷ",Sổ đỏ/ Sổ hồng,,,,4 tầng,,"6,5 m"
39421878,Nhà riêng,Tây Hồ,13/05/2024,100 m²,"16,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,4 phòng,3 tầng,,4 m
38899837,Nhà riêng,Thanh Xuân,14/05/2024,55 m²,16 tỷ,Sổ đỏ/ Sổ hồng,,,,4 tầng,,"4,2 m"
39858574,Nhà biệt thự liền kề,Hoàng Mai,15/05/2024,120 m²,50 tỷ,Sổ đỏ/ Sổ hồng,,,,5 tầng,,11 m
39505092,Nhà mặt phố,Tây Hồ,13/05/2024,69 m²,28 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,3 phòng,5 tầng,,"5,4 m"
39672548,Nhà riêng,Nam Từ Liêm,15/05/2024,75 m²,14 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,21 phòng,21 phòng,7 tầng,4 m,6 m
37945198,Nhà riêng,Cầu Giấy,15/05/2024,43 m²,"5,6 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,5 tầng,4 m,"4,5 m"
39510666,Nhà riêng,Hai Bà Trưng,15/05/2024,30 m²,"5,85 tỷ",Sổ đỏ/ Sổ hồng,"Nội thất hiện đại, sang trọng.",3 phòng,4 phòng,5 tầng,,"3,5 m"
39858143,Nhà riêng,Ba Đình,15/05/2024,60 m²,"17,3 tỷ",,,14 phòng,14 phòng,9 tầng,4 m,"4,2 m"
39852596,Nhà biệt thự liền kề,Long Biên,15/05/2024,153 m²,"37,5 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,,,,,
39857668,Nhà biệt thự liền kề,Cầu Giấy,15/05/2024,106 m²,26 tỷ,,,3 phòng,3 phòng,4 tầng,,
39858333,Nhà riêng,Hà Đông,15/05/2024,47 m²,"7,8 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,,5 tầng,8 m,
39858100,Nhà biệt thự liền kề,Nam Từ Liêm,15/05/2024,90 m²,"12,8 tỷ",Sổ đỏ,,,,4 tầng,,6 m
39844806,Nhà riêng,Cầu Giấy,14/05/2024,"95,5 m²","19,5 tỷ",Sổ đỏ/ Sổ hồng,,,,,,"6,9 m"
39010058,Nhà riêng,Long Biên,10/05/2024,40 m²,"5,45 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ.,4 phòng,4 phòng,5 tầng,,
39829099,Shophouse/Nhà phố thương mại,Thanh Trì,12/05/2024,345 m²,45 triệu/m²,,,,,,,
37808320,Nhà riêng,Long Biên,13/05/2024,80 m²,"11,75 tỷ",Sổ đỏ/ Sổ hồng.,,,5 phòng,5 tầng,5 m,"5,5 m"
39858487,Nhà biệt thự liền kề,Thạch Thất,15/05/2024,400 m²,28 tỷ,Sổ đỏ/ Sổ hồng,,,,3 tầng,,
37480859,Nhà riêng,Long Biên,13/05/2024,85 m²,"11,25 tỷ",Sổ đỏ/ Sổ hồng,,4 phòng,4 phòng,4 tầng,6 m,"7,5 m"
39759242,Nhà riêng,Long Biên,06/05/2024,40 m²,"6,45 tỷ",Sổ đỏ/ Sổ hồng,,4 phòng,4 phòng,5 tầng,5 m,4 m
39625268,Nhà riêng,Long Biên,08/05/2024,120 m²,"13,45 tỷ",Sổ đỏ/ Sổ hồng,,4 phòng,,3 tầng,4 m,6 m
38622893,Nhà biệt thự liền kề,Hoài Đức,15/05/2024,"125,9 m²","16,9 tỷ",,,,,3 tầng,,
39837139,Nhà mặt phố,Hà Đông,13/05/2024,50 m²,"15,45 tỷ",Sổ đỏ/ Sổ hồng,,5 phòng,6 phòng,6 tầng,,
39795645,Nhà riêng,Cầu Giấy,08/05/2024,60 m²,"22,8 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,8 phòng,6 phòng,7 tầng,,"4,5 m"
39858907,Nhà riêng,Nam Từ Liêm,15/05/2024,41 m²,"4,2 tỷ",Sổ đỏ,Cơ bản,5 phòng,3 phòng,4 tầng,,
39092565,Nhà biệt thự liền kề,Gia Lâm,15/05/2024,75 m²,"16,3 tỷ",Sổ đỏ/ Sổ hồng,Không nội thất,,,4 tầng,,11 m
39858733,Nhà riêng,Hai Bà Trưng,15/05/2024,30 m²,"5,66 tỷ",Sổ đỏ,Nội thất đẳng cấp 5*.,3 phòng,,5 tầng,,
39858217,Nhà riêng,Cầu Giấy,15/05/2024,56 m²,"10,2 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,4 phòng,5 tầng,3 m,4 m
39858904,Nhà riêng,Tây Hồ,15/05/2024,80 m²,"25,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,7 phòng,7 phòng,7 tầng,3 m,5 m
39092563,Nhà biệt thự liền kề,Gia Lâm,15/05/2024,75 m²,"16,3 tỷ",Sổ đỏ/ Sổ hồng,Không nội thất,,,,12 m,5 m
39485420,Nhà riêng,Hà Đông,07/05/2024,32 m²,"2,19 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,5 phòng,3 phòng,4 tầng,,
39536400,Nhà riêng,Hà Đông,12/05/2024,35 m²,"2,1 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,3 phòng,4 tầng,,
39858895,Shophouse/Nhà phố thương mại,Gia Lâm,15/05/2024,90 m²,"14,2 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản.,2 phòng,2 phòng,2 tầng,13 m,6 m
39858353,Nhà mặt phố,Long Biên,15/05/2024,52 m²,"16,8 tỷ",Sổ đỏ/ Sổ hồng.,"Đầy đủ full nội thất, thang máy 650kg nhập khẩu cực hiện đại, nội thất xịn 5 sao, thiết kế tỷ mỷ theo phong cách Hoàng Gia sang xịn.",6 phòng,6 phòng,7 tầng,10 m,"3,9 m"
