pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,house_orientation,balcony_orientation,entrance,frontage
39650306,Nhà riêng,Hoàng Mai,13/05/2024,35 m²,"4,85 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ.,4 phòng,,5 tầng,,,,
37274228,Nhà biệt thự liền kề,Hà Đông,14/05/2024,310 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,5 phòng,4 phòng,3 tầng,,,30 m,32 m
39858987,Nhà riêng,Cầu Giấy,15/05/2024,35 m²,"5,45 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,5 phòng,5 tầng,,,3 m,5 m
39405159,Nhà riêng,Tây Hồ,12/05/2024,75 m²,16 tỷ,Sổ đỏ/ Sổ hồng,,4 phòng,4 phòng,4 tầng,Đông - Bắc,Đông - Bắc,10 m,4 m
35692473,Nhà mặt phố,Hoàn Kiếm,11/05/2024,350 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,3 phòng,2 phòng,2 tầng,,,6 m,11 m
39859550,Nhà riêng,Long Biên,15/05/2024,60 m²,"6,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ.,10 phòng,11 phòng,7 tầng,,,"2,5 m","7,3 m"
39668107,Nhà riêng,Thanh Xuân,14/05/2024,69 m²,"15,9 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,4 tầng,,,,
39853546,Nhà biệt thự liền kề,Long Biên,15/05/2024,145 m²,32 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Đông - Bắc,,,
39002402,Nhà riêng,Tây Hồ,15/05/2024,22 m²,"2,45 tỷ",Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,3 tầng,,,,
39814144,Nhà riêng,Tây Hồ,10/05/2024,36 m²,"6,5 tỷ",Sổ đỏ/ Sổ hồng,,3 phòng,4 phòng,5 tầng,Tây - Nam,Tây - Nam,3 m,4 m
39856827,Nhà biệt thự liền kề,Long Biên,15/05/2024,270 m²,55 tỷ,Sổ đỏ/ Sổ hồng,Không nội thất,,,,Tây - Bắc,,,
39859626,Nhà biệt thự liền kề,Cầu Giấy,15/05/2024,202 m²,67 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,,,
39640613,Nhà biệt thự liền kề,Hà Đông,15/05/2024,160 m²,"23,8 tỷ",,,,,,,,,
39860059,Nhà riêng,Bắc Từ Liêm,15/05/2024,35 m²,"4,2 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,4 phòng,5 tầng,Đông - Nam,Tây - Bắc,3 m,"4,2 m"
39575597,Nhà mặt phố,Hà Đông,15/05/2024,55 m²,Thỏa thuận,Sổ đỏ,,,,5 tầng,,,,
39860166,Nhà mặt phố,Nam Từ Liêm,15/05/2024,80 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,,,10 tầng,,,,"6,5 m"
39827985,Nhà riêng,Cầu Giấy,12/05/2024,40 m²,"6,5 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,4 phòng,4 phòng,4 tầng,,,,
39037251,Nhà biệt thự liền kề,Thanh Trì,14/05/2024,300 m²,70 tỷ,Sổ đỏ/ Sổ hồng,,6 phòng,5 phòng,4 tầng,,,,15 m
39433470,Nhà riêng,Cầu Giấy,08/05/2024,52 m²,"15,1 tỷ",Sổ đỏ/ Sổ hồng,,6 phòng,4 phòng,4 tầng,,,,
37222586,Nhà biệt thự liền kề,Hoàng Mai,11/05/2024,300 m²,68 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,8 phòng,6 phòng,5 tầng,,,,
39860165,Nhà mặt phố,Long Biên,15/05/2024,96 m²,"31,8 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,5 tầng,,,30 m,6 m
39524775,Nhà riêng,Đống Đa,09/05/2024,35 m²,"6,5 tỷ",Hợp đồng mua bán,Cơ bản,4 phòng,5 phòng,6 tầng,,,,
39860157,Nhà mặt phố,Long Biên,15/05/2024,85 m²,Thỏa thuận,,,,,,,,,
39476511,Nhà mặt phố,Thanh Xuân,05/05/2024,92 m²,Thỏa thuận,Sổ hồng.,Đầy đủ,,1 phòng,1 tầng,Tây - Nam,Tây - Nam,60 m,"3,6 m"
39814238,Nhà riêng,Hà Đông,10/05/2024,"45,2 m²","5,35 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,5 phòng,4 phòng,,,,"2,4 m","3,86 m"
39859061,Nhà riêng,Tây Hồ,15/05/2024,60 m²,17 tỷ,,,6 phòng,5 phòng,5 tầng,,,,
39859928,Nhà riêng,Cầu Giấy,15/05/2024,41 m²,"9,3 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,3 phòng,4 tầng,,,3 m,"3,9 m"
38721361,Nhà biệt thự liền kề,Ba Đình,11/05/2024,140 m²,56 tỷ,Sổ đỏ/ Sổ hồng,Cơ bản,,,,,,,
39859478,Nhà mặt phố,Cầu Giấy,15/05/2024,95 m²,Thỏa thuận,,,,,7 tầng,,,,"8,2 m"
39749179,Nhà biệt thự liền kề,Nam Từ Liêm,15/05/2024,275 m²,Thỏa thuận,"- SDCC, pháp lý cực chuẩn, gia chủ đẳng cấp.",Đầy đủ,5 phòng,6 phòng,6 tầng,,,19 m,36 m
39829515,Nhà riêng,Đống Đa,12/05/2024,62 m²,"15,9 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,7 tầng,,,,
