pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,house_orientation,balcony_orientation,entrance,frontage
39823226,Nhà biệt thự liền kề,Hoài Đức,11/05/2024,212 m²,35 tỷ,Sổ đỏ/ Sổ hồng,Cơ bản,7 phòng,6 phòng,5 tầng,Đông - Nam,Đông - Nam,40 m,"7,5 m"
39821200,Nhà mặt phố,Thanh Xuân,11/05/2024,88 m²,"25,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,4 phòng,4 tầng,,,15 m,
39690072,Nhà riêng,Hoàn Kiếm,11/05/2024,21 m²,Thỏa thuận,Sổ đỏ chính chủ,,,3 phòng,4 tầng,,,4 m,
39748331,Nhà riêng,Đống Đa,11/05/2024,"59,24 m²",8 tỷ,,Cơ bản,4 phòng,3 phòng,4 tầng,Đông - Nam,,"2,5 m","3,52 m"
39819462,Nhà biệt thự liền kề,Mê Linh,11/05/2024,123 m²,"6,7 tỷ",,,,,,,,,
39762499,Nhà biệt thự liền kề,Long Biên,15/05/2024,"282,8 m²",Thỏa thuận,Sổ đỏ/ Sổ hồng,Cơ bản.,,,3 tầng,Đông - Nam,,,"20,51 m"
39752379,Nhà riêng,Hoàng Mai,15/05/2024,45 m²,"4,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ.,4 phòng,3 phòng,5 tầng,,,,
39801243,Nhà biệt thự liền kề,Gia Lâm,09/05/2024,150 m²,"28,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,,,
39764319,Nhà riêng,Đống Đa,06/05/2024,40 m²,21 tỷ,Sổ đỏ/ Sổ hồng,Cơ bản,,,7 tầng,,,,"6,8 m"
37682289,Nhà biệt thự liền kề,Hoàng Mai,11/05/2024,75 m²,20 tỷ,Sổ đỏ/ Sổ hồng.,Đầy đủ.,5 phòng,5 phòng,5 tầng,,,17 m,5 m
39153149,Nhà biệt thự liền kề,Gia Lâm,11/05/2024,297 m²,56 tỷ,Sổ đỏ/ Sổ hồng,,,,4 tầng,Đông - Nam,,,16 m
39859319,Nhà biệt thự liền kề,Hoài Đức,15/05/2024,131 m²,19 tỷ,Sổ đỏ/ Sổ hồng,,,,,,,,
39858967,Nhà riêng,Đống Đa,15/05/2024,120 m²,32 tỷ,Sổ đỏ/ Sổ hồng,"Nội thất nhập khẩu, tường và trần được ốp gỗ Bách xanh.",,,6 tầng,,,,6 m
39858946,Nhà riêng,Đống Đa,15/05/2024,90 m²,"18,2 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,7 phòng,7 phòng,7 tầng,Đông,Đông,5 m,6 m
39859277,Nhà biệt thự liền kề,Bắc Từ Liêm,15/05/2024,441 m²,120 tỷ,,,6 phòng,5 phòng,5 tầng,,,,
39609550,Nhà biệt thự liền kề,Hà Đông,15/05/2024,114 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,5 phòng,5 phòng,4 tầng,Tây - Bắc,Tây - Bắc,,6 m
39857906,Nhà riêng,Hoài Đức,15/05/2024,31 m²,"3,89 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,3 phòng,5 tầng,,,5 m,3 m
39857959,Nhà riêng,Cầu Giấy,15/05/2024,50 m²,"8,6 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,9 phòng,9 phòng,5 tầng,,,,
39790315,Nhà biệt thự liền kề,Thanh Trì,15/05/2024,60 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Xây thô.,,,4 tầng,Đông - Nam,Đông - Nam,13 m,4 m
39858417,Nhà riêng,Đông Anh,15/05/2024,85 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,,,4 tầng,Bắc,Bắc,12 m,5 m
39857980,Nhà riêng,Nam Từ Liêm,15/05/2024,105 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,Đầy đủ,,,8 tầng,,,12 m,
39858462,Nhà riêng,Đống Đa,15/05/2024,35 m²,8 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 tầng,,,,4 m
39857459,Nhà riêng,Đống Đa,15/05/2024,50 m²,"12,5 tỷ",Sổ đỏ/ Sổ hồng,Full nội thất xịn đắt tiền.,,,6 tầng,,,,
39857179,Nhà riêng,Đống Đa,15/05/2024,55 m²,"18,5 tỷ",,,,,8 tầng,,,,
39857101,Nhà riêng,Cầu Giấy,15/05/2024,40 m²,"10,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,6 tầng,,,4 m,5 m
39846542,Nhà riêng,Cầu Giấy,14/05/2024,50 m²,"5,8 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,4 phòng,5 tầng,,,,
39857223,Nhà riêng,Ba Đình,15/05/2024,92 m²,"16,8 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,6 phòng,4 tầng,,,9 m,"4,8 m"
39640865,Nhà biệt thự liền kề,Hoàng Mai,15/05/2024,"266,8 m²",Thỏa thuận,Sổ đỏ.,,,,4 tầng,,,,11 m
39813432,Nhà riêng,Hoàng Mai,10/05/2024,80 m²,"12,79 tỷ",Sổ đỏ,,7 phòng,7 phòng,5 tầng,,,,
39846281,Nhà riêng,Long Biên,14/05/2024,43 m²,"7,5 tỷ",,,2 phòng,,5 tầng,,,,
39857017,Nhà riêng,Cầu Giấy,15/05/2024,79 m²,"8,45 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,5 phòng,5 tầng,,,,
39856865,Nhà riêng,Tây Hồ,15/05/2024,46 m²,"10,7 tỷ",Sổ đỏ/ Sổ hồng,,5 phòng,5 phòng,7 tầng,Tây - Nam,,3 m,4 m
39856632,Nhà biệt thự liền kề,Hà Đông,15/05/2024,50 m²,15 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,3 phòng,5 tầng,Tây - Nam,,15 m,5 m
39856667,Nhà riêng,Long Biên,15/05/2024,61 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,4 phòng,3 phòng,4 tầng,,,,"5,1 m"
39854802,Nhà biệt thự liền kề,Hà Đông,15/05/2024,90 m²,78 triệu/m²,,,,,,,,,
39856404,Nhà riêng,Hai Bà Trưng,15/05/2024,92 m²,"14,6 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,3 tầng,,,3 m,6 m
39768054,Nhà biệt thự liền kề,Gia Lâm,15/05/2024,150 m²,26 tỷ,Có sổ,Chủ nhà hoàn thiện nội thất hiện đại.,,,,,,,9 m
39476990,Nhà riêng,Hoài Đức,15/05/2024,35 m²,"2,9 tỷ",,"Để lại toàn bộ nội thất từ tivi, tủ lạnh, bàn ghế,...",,,3 tầng,,,,
39512746,Nhà riêng,Hoài Đức,15/05/2024,33 m²,"3,95 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,5 phòng,5 tầng,Đông - Nam,Đông - Nam,"2,5 m","3,3 m"
39754718,Nhà riêng,Hai Bà Trưng,15/05/2024,32 m²,"4,43 tỷ",Sổ đỏ/ Sổ hồng,,3 phòng,4 phòng,5 tầng,,,,4 m
39337040,Nhà riêng,Ba Đình,15/05/2024,42 m²,"6,9 tỷ",Sổ đỏ,,9 phòng,9 phòng,6 tầng,,,,
39856187,Nhà biệt thự liền kề,Long Biên,15/05/2024,144 m²,22 tỷ,Sổ đỏ/ Sổ hồng,Cơ bản,4 phòng,5 phòng,3 tầng,,,"7,5 m",8 m
39853141,Nhà riêng,Ba Đình,15/05/2024,35 m²,"6,1 tỷ",Sổ đỏ/ Sổ hồng,"Nội thất được hoàn thiệp cao cấp với toàn bộ cửa chính, cầu thang và cửa thông phòng được làm từ gỗ Lim, cửa sổ nhôm Xingfa bản dày, hệ thống đèn led chiếu sáng hiện đại và tiết kiệm điện tối ư",3 phòng,4 phòng,5 tầng,,,"2,5 m","3,4 m"
39829850,Nhà riêng,Long Biên,12/05/2024,142 m²,"16,19 tỷ",,,8 phòng,6 phòng,5 tầng,,,5 m,"6,2 m"
39856109,Nhà riêng,Cầu Giấy,15/05/2024,85 m²,10 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,6 phòng,4 tầng,,,4 m,4 m
39852295,Nhà riêng,Đống Đa,15/05/2024,85 m²,"18,3 tỷ",Sổ đỏ/ Sổ hồng,,5 phòng,4 phòng,4 tầng,,,4 m,"4,6 m"
39852461,Nhà biệt thự liền kề,Hoài Đức,15/05/2024,100 m²,Thỏa thuận,Hợp đồng mua bán,,,,4 tầng,Đông - Bắc,,12 m,5 m
39673168,Nhà biệt thự liền kề,Thường Tín,15/05/2024,"79,6 m²","10,3 tỷ",,,,,5 tầng,,,,
39851672,Nhà riêng,Cầu Giấy,14/05/2024,68 m²,"23,5 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,6 phòng,5 tầng,,,,
39851782,Nhà mặt phố,Cầu Giấy,14/05/2024,79 m²,"8,45 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,9 phòng,9 phòng,5 tầng,,,,"4,8 m"
39852169,Nhà biệt thự liền kề,Hà Đông,15/05/2024,199 m²,57 tỷ,Sổ đỏ/ Sổ hồng,Cơ bản,6 phòng,6 phòng,4 tầng,Tây - Nam,,40 m,27 m
39851982,Nhà riêng,Cầu Giấy,14/05/2024,38 m²,"7,5 tỷ",Sổ đỏ/ Sổ hồng,,2 phòng,,2 tầng,,,,
39851845,Nhà biệt thự liền kề,Tây Hồ,14/05/2024,180 m²,72 tỷ,Sổ đỏ/ Sổ hồng,,,,4 tầng,Bắc,,,
39851452,Nhà biệt thự liền kề,Long Biên,14/05/2024,400 m²,120 tỷ,Sổ đỏ/ Sổ hồng.,Đầy đủ.,4 phòng,5 phòng,4 tầng,Đông - Bắc,,10 m,26 m
39851293,Nhà riêng,Hà Đông,14/05/2024,75 m²,"7,25 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,3 phòng,3 tầng,Đông - Nam,Đông - Nam,4 m,"4,2 m"
39847141,Nhà biệt thự liền kề,Hà Đông,14/05/2024,100 m²,"7,8 tỷ",,,,,,,,,
28614295,Nhà mặt phố,Tây Hồ,14/05/2024,"112,5 m²",Thỏa thuận,,Full nội thất xịn.,,,6 tầng,Đông - Bắc,,45 m,5 m
39779072,Nhà biệt thự liền kề,Sóc Sơn,14/05/2024,1.685 m²,"6,5 tỷ",Hợp đồng mua bán,Đầy đủ,2 phòng,2 phòng,1 tầng,,,,
39830417,Nhà mặt phố,Hai Bà Trưng,12/05/2024,40 m²,"17,5 tỷ",Sổ đỏ/ Sổ hồng,,,,5 tầng,,,,5 m
39855776,Nhà riêng,Hai Bà Trưng,15/05/2024,30 m²,"4,95 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng,3 phòng,4 tầng,,,,
39845040,Nhà riêng,Đống Đa,14/05/2024,134 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,,,,3 tầng,,,,"7,2 m"
39855751,Nhà riêng,Cầu Giấy,15/05/2024,45 m²,13 tỷ,Sổ đỏ/ Sổ hồng,,3 phòng,,5 tầng,,,,"5,6 m"
39850413,Nhà mặt phố,Cầu Giấy,14/05/2024,293 m²,220 tỷ,Sổ đỏ/ Sổ hồng,,8 phòng,8 phòng,7 tầng,,,40 m,15 m
39850107,Nhà riêng,Tây Hồ,14/05/2024,50 m²,"15,3 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,8 phòng,7 phòng,8 tầng,,,4 m,
39856038,Nhà biệt thự liền kề,Hoài Đức,15/05/2024,154 m²,"23,6 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,4 tầng,Đông - Nam,Đông - Nam,15 m,8 m
39688805,Nhà biệt thự liền kề,Hoài Đức,15/05/2024,135 m²,11 tỷ,,,,,5 tầng,,,,
39459691,Nhà riêng,Hoàng Mai,06/05/2024,40 m²,"7,98 tỷ",,,,,5 tầng,,,,
39310395,Nhà biệt thự liền kề,Hoài Đức,15/05/2024,100 m²,Thỏa thuận,,,,,5 tầng,,,,5 m
39855393,Nhà biệt thự liền kề,Hà Đông,15/05/2024,60 m²,9 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,6 phòng,5 phòng,7 tầng,,,15 m,5 m
39809323,Nhà biệt thự liền kề,Thanh Trì,10/05/2024,85 m²,"22,8 tỷ",,,,,,,,,
39854830,Nhà biệt thự liền kề,Tây Hồ,15/05/2024,180 m²,290 triệu/m²,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,3 tầng,,Nam,20 m,9 m
39854664,Nhà biệt thự liền kề,Hoàng Mai,15/05/2024,100 m²,45 tỷ,Sổ đỏ/ Sổ hồng.,,4 phòng,4 phòng,5 tầng,Nam,,20 m,6 m
39851352,Nhà biệt thự liền kề,Gia Lâm,15/05/2024,288 m²,56 tỷ,Sổ đỏ/ Sổ hồng,,,,,Đông - Nam,,13 m,16 m
39771772,Nhà riêng,Hoàng Mai,15/05/2024,45 m²,5 tỷ,,,,,5 tầng,,,,
38730232,Nhà mặt phố,Thanh Xuân,13/05/2024,75 m²,21 tỷ,Sổ đỏ/ Sổ hồng,,2 phòng,2 phòng,3 tầng,,,20 m,"3,28 m"
39375829,Nhà riêng,Thanh Trì,10/05/2024,193 m²,"17,5 tỷ",,,,,3 tầng,,,,
39853721,Nhà riêng,Nam Từ Liêm,15/05/2024,60 m²,"12,5 tỷ",Sổ đỏ/ Sổ hồng.,Đầy đủ.,12 phòng,12 phòng,8 tầng,,,"3,5 m",4 m
39854032,Nhà mặt phố,Long Biên,15/05/2024,200 m²,48 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,4 tầng,,,25 m,11 m
39720291,Nhà biệt thự liền kề,Hoàng Mai,15/05/2024,100 m²,21 tỷ,,Không nội thất,,,,Bắc,Bắc,"13,5 m",5 m
