Unnamed: 0,type_estate,district,price_per_sqm,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
87,3,5,~190 triệu/m²,09/05/2024,150.0,"28,5 tỷ",252,294,6,6,4,12.181061122472167,6.78865638058502
89,3,13,"~54,47 triệu/m²",11/05/2024,123.0,"6,7 tỷ",139,146,6,6,4,12.181061122472167,6.78865638058502
92,5,27,"~101,11 triệu/m²",11/05/2024,45.0,"4,55 tỷ",139,146,3,2,3,12.181061122472167,4.5
93,3,5,"~291,67 triệu/m²",10/05/2024,240.0,70 tỷ,139,146,6,6,4,52.0,10.0
94,4,13,"~12,8 tỷ",10/05/2024,355.6,36 triệu/m²,252,294,4,4,5,24.0,8.0
95,3,11,"~140,89 triệu/m²",10/05/2024,291.0,41 tỷ,178,146,6,6,4,12.181061122472167,6.78865638058502
96,5,1,"~155,56 triệu/m²",10/05/2024,36.0,"5,6 tỷ",178,146,6,6,5,12.181061122472167,6.78865638058502
97,3,11,"~168,72 triệu/m²",10/05/2024,243.0,41 tỷ,178,146,6,6,4,13.5,5.0
99,3,11,"~195,83 triệu/m²",10/05/2024,120.0,"23,5 tỷ",252,146,4,5,3,10.0,6.0
100,3,13,"~63,94 triệu/m²",10/05/2024,104.0,"6,65 tỷ",224,146,6,6,4,13.5,5.2
101,6,4,~445 triệu/m²,10/05/2024,100.0,"44,5 tỷ",253,146,6,6,8,12.181061122472167,6.5
102,4,11,"~214,29 triệu/m²",10/05/2024,42.0,9 tỷ,139,146,4,6,4,12.181061122472167,6.78865638058502
104,3,11,,10/05/2024,183.0,Thỏa thuận,252,146,6,6,4,20.5,6.78865638058502
105,3,11,,07/05/2024,180.0,Thỏa thuận,252,42,4,4,4,11.5,9.0
106,3,5,"~156,67 triệu/m²",06/05/2024,150.0,"23,5 tỷ",252,53,6,6,4,13.5,10.0
107,5,14,,10/05/2024,79.0,Thỏa thuận,252,294,19,19,8,3.0,6.0
108,3,24,"~46,8 tỷ",06/05/2024,180.0,260 triệu/m²,252,146,6,6,4,30.0,10.0
109,5,4,"~247,73 triệu/m²",10/05/2024,88.0,"21,8 tỷ",252,146,3,4,4,12.181061122472167,14.0
110,3,24,,10/05/2024,319.0,Thỏa thuận,252,146,6,6,4,12.181061122472167,6.78865638058502
111,3,8,~45 tỷ,07/05/2024,300.0,150 triệu/m²,139,146,6,6,4,12.181061122472167,6.78865638058502
112,4,2,"~211,98 triệu/m²",10/05/2024,108.5,23 tỷ,252,294,5,5,4,30.0,9.55
113,3,14,,07/05/2024,300.0,Thỏa thuận,252,294,5,5,5,12.181061122472167,6.78865638058502
114,5,27,"~115,56 triệu/m²",07/05/2024,45.0,"5,2 tỷ",178,146,3,3,4,12.181061122472167,3.9
115,3,14,,06/05/2024,95.0,Thỏa thuận,139,146,4,4,4,12.181061122472167,6.78865638058502
116,4,2,"~255,32 triệu/m²",09/05/2024,188.0,48 tỷ,178,146,6,6,3,12.181061122472167,7.0
118,5,20,"~72,86 triệu/m²",09/05/2024,35.0,"2,55 tỷ",139,146,4,3,5,12.181061122472167,6.78865638058502
119,5,4,"~420,37 triệu/m²",09/05/2024,54.0,"22,7 tỷ",139,146,6,6,7,12.181061122472167,4.5
121,5,4,"~230,25 triệu/m²",09/05/2024,81.0,"18,65 tỷ",252,294,6,6,6,12.181061122472167,5.5
122,5,27,"~237,04 triệu/m²",09/05/2024,54.0,"12,8 tỷ",139,146,6,6,4,12.181061122472167,4.8
123,5,17,"~12,69 triệu/m²",13/05/2024,670.0,"8,5 tỷ",252,146,6,6,4,12.181061122472167,6.78865638058502
124,5,1,"~161,29 triệu/m²",09/05/2024,31.0,5 tỷ,252,294,3,4,5,3.0,5.0
125,4,21,"~392,51 triệu/m²",09/05/2024,107.0,42 tỷ,253,42,8,8,8,60.0,4.4
126,5,4,~170 triệu/m²,09/05/2024,70.0,"11,9 tỷ",182,146,8,6,4,10.0,4.5
127,3,5,"~173,33 triệu/m²",09/05/2024,150.0,26 tỷ,252,146,6,6,4,12.181061122472167,9.5
128,6,5,"~108,2 triệu/m²",09/05/2024,61.0,"6,6 tỷ",252,294,6,6,4,30.0,7.0
129,3,5,"~153,33 triệu/m²",09/05/2024,150.0,23 tỷ,253,146,6,6,4,12.181061122472167,10.0
130,5,21,"~127,78 triệu/m²",09/05/2024,36.0,"4,6 tỷ",252,146,4,3,4,3.0,5.5
131,5,11,"~235,58 triệu/m²",09/05/2024,104.0,"24,5 tỷ",178,42,10,4,5,6.0,6.0
133,3,8,,07/05/2024,243.0,Thỏa thuận,252,146,5,5,5,12.181061122472167,6.78865638058502
136,3,10,,08/05/2024,125.0,Thỏa thuận,252,392,5,5,4,20.0,8.0
137,3,14,"~246,48 triệu/m²",08/05/2024,142.0,35 tỷ,139,146,5,6,5,12.181061122472167,16.0
138,3,11,~125 triệu/m²,08/05/2024,120.0,15 tỷ,252,146,6,6,4,12.181061122472167,6.78865638058502
139,3,14,~195 triệu/m²,04/05/2024,100.0,"19,5 tỷ",139,146,6,6,6,12.0,5.0
